chunk_id,source,title,text
doc_01_course_structure_chunk_01,doc_01_course_structure,Course Structure and Weekly Workflow,"The AI Engineering course is organized around weekly seminars, homework folders, and short reports. Each seminar introduces one engineering topic and is followed by one homework assignment in the student's repository."
doc_01_course_structure_chunk_02,doc_01_course_structure,Course Structure and Weekly Workflow,Each seminar introduces one engineering topic and is followed by one homework assignment in the student's repository.
doc_01_course_structure_chunk_03,doc_01_course_structure,Course Structure and Weekly Workflow,"Every homework should be placed in homeworks/HWXX with an executable notebook, a report.md file, and the required artifacts folder."
doc_01_course_structure_chunk_04,doc_01_course_structure,Course Structure and Weekly Workflow,"The recommended workflow is to study the theory, run the demo notebook, adapt the ideas, and then document the final experiment clearly."
doc_02_submission_rules_chunk_01,doc_02_submission_rules,Submission Rules,A homework submission is considered complete only when the repository contains the required files with exact names. The notebook must run from top to bottom without hidden manual steps.
doc_02_submission_rules_chunk_02,doc_02_submission_rules,Submission Rules,The notebook must run from top to bottom without hidden manual steps. Reports should not rename sections from the provided template because the checker expects the same structure.
doc_02_submission_rules_chunk_03,doc_02_submission_rules,Submission Rules,Reports should not rename sections from the provided template because the checker expects the same structure. Artifacts should be generated by the notebook and linked inside report.md.
doc_03_validation_policy_chunk_01,doc_03_validation_policy,Validation and Test Policy,"Validation data is used to select a model or configuration, while the test split is reserved for the final check. A common mistake is to repeatedly inspect test quality during development and accidentally overfit to it."
doc_03_validation_policy_chunk_02,doc_03_validation_policy,Validation and Test Policy,"A common mistake is to repeatedly inspect test quality during development and accidentally overfit to it. The correct pattern is train on train, choose by validation, and evaluate on test only once at the end."
doc_03_validation_policy_chunk_03,doc_03_validation_policy,Validation and Test Policy,"The correct pattern is train on train, choose by validation, and evaluate on test only once at the end. This rule applies to computer vision, NLP, time series, and retrieval experiments."
doc_04_retrieval_basics_chunk_01,doc_04_retrieval_basics,Retrieval Basics,Retrieval is different from classification because the goal is to find relevant knowledge fragments instead of predicting one label.
doc_04_retrieval_basics_chunk_02,doc_04_retrieval_basics,Retrieval Basics,"A retrieval pipeline usually contains chunking, vectorization, indexing, and top-k search. Dense or vector retrieval helps when the wording of the query differs from the wording in the source document."
