source,title,text
doc_01_course_structure,Course Structure and Weekly Workflow,"The AI Engineering course is organized around weekly seminars, homework folders, and short reports. 
Each seminar introduces one engineering topic and is followed by one homework assignment in the student's repository. 
Every homework should be placed in homeworks/HWXX with an executable notebook, a report.md file, and the required artifacts folder. 
The recommended workflow is to study the theory, run the demo notebook, adapt the ideas, and then document the final experiment clearly."
doc_02_submission_rules,Submission Rules,"A homework submission is considered complete only when the repository contains the required files with exact names. 
The notebook must run from top to bottom without hidden manual steps. 
Reports should not rename sections from the provided template because the checker expects the same structure. 
Artifacts should be generated by the notebook and linked inside report.md."
doc_03_validation_policy,Validation and Test Policy,"Validation data is used to select a model or configuration, while the test split is reserved for the final check. 
A common mistake is to repeatedly inspect test quality during development and accidentally overfit to it. 
The correct pattern is train on train, choose by validation, and evaluate on test only once at the end. 
This rule applies to computer vision, NLP, time series, and retrieval experiments."
doc_04_retrieval_basics,Retrieval Basics,"Retrieval is different from classification because the goal is to find relevant knowledge fragments instead of predicting one label. 
A retrieval pipeline usually contains chunking, vectorization, indexing, and top-k search. 
Dense or vector retrieval helps when the wording of the query differs from the wording in the source document. 
Quality depends on the chunking strategy, the vectorizer, the search index, and the evaluation queries."
doc_05_chunking_guidelines,Chunking Guidelines,"Chunking splits documents into smaller fragments that can be indexed and retrieved. 
If chunks are too large, retrieval may bring too much unrelated context. 
If chunks are too small, the answer may be fragmented and lose important meaning. 
A practical baseline is to use fixed-size chunks with small overlap so that neighboring context is preserved."
doc_06_faiss_notes,FAISS Notes,"FAISS is a library for similarity search over vector embeddings. 
For a small educational project, a flat index such as IndexFlatIP or IndexFlatL2 is usually sufficient. 
When cosine similarity is needed, vectors are commonly normalized before indexing and search. 
The top-k retrieved chunk identifiers should be mapped back to source documents for interpretation."
doc_07_retrieval_metrics,Retrieval Metrics,"A minimal retrieval benchmark can be built from a list of control queries and their expected relevant sources. 
Hit@k answers whether at least one relevant source appears in the top-k results. 
Recall@k measures what fraction of all relevant items was retrieved in the top-k set. 
MRR@k is also useful because it rewards systems that rank the first relevant item earlier."
doc_08_knowledge_base_updates,Knowledge Base Updates,"Updating a knowledge base means adding new documents or refreshing existing ones and then rebuilding the index. 
After an update, retrieval quality can change because new fragments may satisfy queries that previously had weak or missing support. 
A correct experiment compares retrieval before and after the update on the same benchmark queries. 
This helps show that the index reflects the current state of the knowledge base."
doc_09_mini_rag,Mini-RAG Pipeline,"A mini-RAG pipeline combines retrieval with answer generation over the retrieved context. 
The simplest version retrieves top-k chunks, concatenates them into a context block, and then composes an answer with source citations. 
Even a template-based generator is acceptable in a учебный project if the retrieval and source grounding are clear. 
If retrieval fails, the answer quality usually fails as well because the generator has no relevant evidence."
doc_10_error_analysis,Error Analysis,"Useful error analysis asks whether a bad answer came from wrong retrieval, weak context assembly, or ambiguous wording in the question. 
In retrieval tasks, many visible failures are actually indexing or chunking failures rather than generation failures. 
A short analysis of several successful and failed examples is usually enough for a homework assignment. 
The goal is to explain what went wrong, not to claim perfect system behavior."
doc_11_reports_and_artifacts,Reports and Artifacts,"Reports should explicitly name the selected dataset or knowledge base, the chosen model or vectorizer, and the key configuration values. 
Ambiguity in the report often leads to reviewer comments even if the notebook is technically correct. 
Required artifact files should be created with exactly the expected names and referenced from the report. 
Clear naming prevents avoidable grading issues."
doc_12_practical_limits,Practical Limits,"A compact educational retrieval project does not require a production database, reranking stack, or a large language model service. 
A small corpus, a transparent vectorizer, a FAISS index, and a reproducible benchmark are enough. 
The emphasis is on engineering clarity and correctness rather than scale. 
A well-documented simple solution is preferable to a complex but fragile pipeline."
